,Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,MA200,price_change,upmove,downmove,avg_up,avg_down,RS,RSI,Buy
1992,2022-04-05 12:00:00,1.09669,1.09714,1.09557,1.09637,1.09675,1.0972199999999999,1.0956599999999999,1.0964399999999999,9902,1.1038480500000007,-0.00029178710483357406,0.0,0.00029178710483357406,0.0002050867704829462,0.0003261387648803519,0.6288328545003992,-60.02476991194888,No
1993,2022-04-05 13:00:00,1.09637,1.0975300000000001,1.09583,1.09688,1.0964399999999999,1.09761,1.0958999999999999,1.097,11820,1.103838600000001,0.0004651714293533171,0.0004651714293533171,0.0,0.00023109523636998336,0.00029352488839231667,0.7873105331398962,-28.014685807882017,No
1994,2022-04-05 14:00:00,1.09688,1.09723,1.09306,1.0938,1.097,1.09731,1.09314,1.0938599999999998,26709,1.1038139500000008,-0.002807964408139463,0.0,0.002807964408139463,0.000207985712732985,0.0005449688403670314,0.3816469811244778,-163.02224816599306,No
1995,2022-04-05 15:00:00,1.0938,1.09412,1.0918700000000001,1.09203,1.0938599999999998,1.09421,1.09195,1.09209,11962,1.103782700000001,-0.0016182117388919837,0.0,0.0016182117388919837,0.0001871871414596865,0.0006522931302195268,0.28696782594765236,-249.47112100379377,No
1996,2022-04-05 16:00:00,1.09203,1.09228,1.09117,1.0914,1.09209,1.0923699999999998,1.09127,1.09147,8567,1.1037529500000007,-0.0005769072278235532,0.0,0.0005769072278235532,0.00016846842731371784,0.0006447545399799295,0.2612907965238401,-283.7153551919156,No
1997,2022-04-05 17:00:00,1.0914,1.09208,1.09106,1.09129,1.09147,1.09216,1.0911499999999998,1.0913499999999998,5898,1.1037118000000006,-0.0001007879787428001,0.0,0.0001007879787428001,0.00015162158458234605,0.0005903578838562165,0.256829947949461,-290.3626923121831,No
1998,2022-04-05 18:00:00,1.09129,1.09147,1.09026,1.0904,1.0913499999999998,1.0915599999999999,1.0903399999999999,1.0904699999999998,6406,1.1036609000000006,-0.0008155485709573362,0.0,0.0008155485709573362,0.00013645942612411144,0.0006128769525663285,0.22265387130762296,-350.12760516002004,No
1999,2022-04-05 19:00:00,1.0904,1.09051,1.08996,1.09035,1.0904699999999998,1.0906,1.0900299999999998,1.09043,5100,1.1036200000000005,-4.585473220841685e-05,0.0,4.585473220841685e-05,0.0001228134835117003,0.0005561747305305373,0.22081816517364608,-353.86129391285544,No
2000,2022-04-05 20:00:00,1.09035,1.09062,1.09024,1.09036,1.09043,1.0906799999999999,1.09032,1.0906,2191,1.1035750500000006,9.171366992299923e-06,9.171366992299923e-06,0.0,0.00011144927185976025,0.0005005572574774836,0.2226503965228664,-350.13461445252767,No
2001,2022-04-05 21:00:00,1.09036,1.09057,1.09016,1.09057,1.0906,1.0908399999999998,1.09053,1.09083,432,1.1035289500000005,0.00019259694046014353,0.00019259694046014353,0.0,0.00011956403871979859,0.0004505015317297352,0.2654020692465202,-277.786813621692,No
